Ticker,ExitDate,ExitPrice,Notes,Date,Close,Rule
AMAT,2025-12-10,275.1499938964844,RSI2>70,,,
AMD,2025-12-10,221.4199981689453,RSI2>70,,,
AMZN,2025-12-10,231.77999877929688,RSI2>70,,,
ANET,2025-12-10,132.36000061035156,RSI2>70,,,
AVGO,2025-12-10,412.9700012207031,RSI2>70,,,
BAC,2025-12-10,54.08000183105469,RSI2>70,,,
C,2025-12-10,111.08999633789062,RSI2>70,,,
CCL,2025-12-10,26.280000686645508,RSI2>70,,,
CFG,2025-12-10,58.459999084472656,RSI2>70,,,
COP,2025-12-10,96.8000030517578,RSI2>70,,,
CRM,2025-12-10,264.20001220703125,RSI2>70,,,
CSCO,2025-12-10,80.25,RSI2>70,,,
CSX,2025-12-10,37.09000015258789,RSI2>70,,,
CVS,2025-12-10,78.97000122070312,RSI2>70,,,
CVX,2025-12-10,151.41000366210938,RSI2>70,,,
DAL,2025-12-10,69.93000030517578,RSI2>70,,,
DVN,2025-12-10,38.40999984741211,RSI2>70,,,
F,2025-12-10,13.40999984741211,RSI2>70,,,
FCX,2025-12-10,46.45000076293945,RSI2>70,,,
FITB,2025-12-10,47.54999923706055,RSI2>70,,,
GLW,2025-12-10,94.1999969482422,RSI2>70,,,
GM,2025-12-10,80.80000305175781,RSI2>70,,,
GOOG,2025-12-10,321.0,RSI2>70,,,
GOOGL,2025-12-10,320.2099914550781,RSI2>70,,,
HAL,2025-12-10,29.040000915527344,RSI2>70,,,
HBAN,2025-12-10,17.559999465942383,RSI2>70,,,
HPE,2025-12-10,25.26000022888184,RSI2>70,,,
HST,2025-12-10,17.829999923706055,RSI2>70,,,
JNJ,2025-12-10,206.5399932861328,RSI2>70,,,
KEY,2025-12-10,20.520000457763672,RSI2>70,,,
LRCX,2025-12-10,168.25999450683594,RSI2>70,,,
LUV,2025-12-10,39.83000183105469,RSI2>70,,,
MCHP,2025-12-10,67.9000015258789,RSI2>70,,,
MRNA,2025-12-10,29.030000686645508,RSI2>70,,,
MS,2025-12-10,179.7100067138672,RSI2>70,,,
MU,2025-12-10,263.7099914550781,RSI2>70,,,
NEM,2025-12-10,94.4000015258789,RSI2>70,,,
OMC,2025-12-10,77.41999816894531,RSI2>70,,,
ORCL,2025-12-10,223.00999450683597,RSI2>70,,,
PEP,2025-12-10,149.6999969482422,RSI2>70,,,
PLTR,2025-12-10,187.91000366210935,RSI2>70,,,
QCOM,2025-12-10,182.2100067138672,RSI2>70,,,
RF,2025-12-10,27.3799991607666,RSI2>70,,,
SCHW,2025-12-10,95.80999755859376,RSI2>70,,,
SLB,2025-12-10,39.93000030517578,RSI2>70,,,
TFC,2025-12-10,49.560001373291016,RSI2>70,,,
TJX,2025-12-10,155.6699981689453,RSI2>70,,,
TSLA,2025-12-10,451.4500122070313,RSI2>70,,,
UAL,2025-12-10,107.73999786376952,RSI2>70,,,
UPS,2025-12-10,99.63999938964844,RSI2>70,,,
USB,2025-12-10,53.560001373291016,RSI2>70,,,
VTRS,2025-12-10,11.600000381469728,RSI2>70,,,
WBD,2025-12-10,29.530000686645508,RSI2>70,,,
WDC,2025-12-10,181.9499969482422,RSI2>70,,,
WFC,2025-12-10,90.69000244140624,RSI2>70,,,
XOM,2025-12-10,119.54000091552734,RSI2>70,,,
