Ticker,EntryDate,EntryPrice,Notes
SPY,2025-10-10,207.5,RSI2<= 10
SPY,2025-10-10,208.4600067138672,RSI2<= 10
SPY,2025-10-10,210.6999969482422,RSI2<= 10
SPY,2025-10-10,208.47999572753903,RSI2<= 10
SPY,2025-10-10,208.4499969482422,RSI2<= 10
SPY,2025-10-10,210.17999267578125,RSI2<= 10
SPY,2025-10-10,208.0,RSI2<= 10
SPY,2025-10-10,206.7899932861328,RSI2<= 10
SPY,2025-10-10,208.0800018310547,RSI2<= 10
SPY,2025-10-10,206.3300018310547,RSI2<= 10
SPY,2025-10-10,208.4499969482422,RSI2<= 10
SPY,2025-10-10,208.0399932861328,RSI2<= 10
SPY,2025-10-10,207.75,RSI2<= 10
SPY,2025-10-10,215.5500030517578,RSI2<= 10
SPY,2025-10-10,217.2899932861328,RSI2<= 10
SPY,2025-10-10,213.27999877929688,RSI2<= 10
SPY,2025-10-10,212.5399932861328,RSI2<= 10
SPY,2025-10-10,212.5500030517578,RSI2<= 10
SPY,2025-10-10,211.00999450683597,RSI2<= 10
SPY,2025-10-10,209.7400054931641,RSI2<= 10
SPY,2025-10-10,208.77999877929688,RSI2<= 10
SPY,2025-10-10,208.5500030517578,RSI2<= 10
SPY,2025-10-10,223.52999877929688,RSI2<= 10
SPY,2025-10-10,233.72999572753903,RSI2<= 10
SPY,2025-10-10,234.02999877929688,RSI2<= 10
SPY,2025-10-10,232.50999450683597,RSI2<= 10
SPY,2025-10-10,235.82000732421875,RSI2<= 10
SPY,2025-10-10,242.63999938964844,RSI2<= 10
SPY,2025-10-10,241.3300018310547,RSI2<= 10
SPY,2025-10-10,243.75999450683597,RSI2<= 10
SPY,2025-10-10,248.92999267578125,RSI2<= 10
SPY,2025-10-10,256.44000244140625,RSI2<= 10
SPY,2025-10-10,275.45001220703125,RSI2<= 10
SPY,2025-10-10,263.92999267578125,RSI2<= 10
SPY,2025-10-10,257.6300048828125,RSI2<= 10
SPY,2025-10-10,267.70001220703125,RSI2<= 10
SPY,2025-10-10,270.489990234375,RSI2<= 10
SPY,2025-10-10,263.6700134277344,RSI2<= 10
SPY,2025-10-10,262.9800109863281,RSI2<= 10
SPY,2025-10-10,269.0199890136719,RSI2<= 10
SPY,2025-10-10,275.5,RSI2<= 10
SPY,2025-10-10,271.0,RSI2<= 10
SPY,2025-10-10,282.1000061035156,RSI2<= 10
SPY,2025-10-10,288.1600036621094,RSI2<= 10
SPY,2025-10-10,287.6000061035156,RSI2<= 10
SPY,2025-10-10,289.44000244140625,RSI2<= 10
SPY,2025-10-10,287.82000732421875,RSI2<= 10
SPY,2025-10-10,287.82000732421875,RSI2<= 10
SPY,2025-10-10,287.3999938964844,RSI2<= 10
SPY,2025-10-10,278.29998779296875,RSI2<= 10
SPY,2025-10-10,277.3299865722656,RSI2<= 10
SPY,2025-10-10,275.010009765625,RSI2<= 10
SPY,2025-10-10,286.6600036621094,RSI2<= 10
SPY,2025-10-10,280.8599853515625,RSI2<= 10
SPY,2025-10-10,278.2699890136719,RSI2<= 10
SPY,2025-10-10,297.42999267578125,RSI2<= 10
SPY,2025-10-10,294.8399963378906,RSI2<= 10
SPY,2025-10-10,292.6199951171875,RSI2<= 10
SPY,2025-10-10,283.82000732421875,RSI2<= 10
SPY,2025-10-10,298.2799987792969,RSI2<= 10
SPY,2025-10-10,298.2099914550781,RSI2<= 10
SPY,2025-10-10,295.8699951171875,RSI2<= 10
SPY,2025-10-10,288.0599975585937,RSI2<= 10
SPY,2025-10-10,309.54998779296875,RSI2<= 10
SPY,2025-10-10,323.5,RSI2<= 10
SPY,2025-10-10,322.4200134277344,RSI2<= 10
SPY,2025-10-10,312.6499938964844,RSI2<= 10
SPY,2025-10-10,311.5,RSI2<= 10
SPY,2025-10-10,333.2099914550781,RSI2<= 10
SPY,2025-10-10,330.6499938964844,RSI2<= 10
SPY,2025-10-10,326.9700012207031,RSI2<= 10
SPY,2025-10-10,342.010009765625,RSI2<= 10
SPY,2025-10-10,326.6600036621094,RSI2<= 10
SPY,2025-10-10,364.6600036621094,RSI2<= 10
SPY,2025-10-10,374.4100036621094,RSI2<= 10
SPY,2025-10-10,387.0299987792969,RSI2<= 10
SPY,2025-10-10,405.4100036621094,RSI2<= 10
SPY,2025-10-10,414.9200134277344,RSI2<= 10
SPY,2025-10-10,431.3399963378906,RSI2<= 10
SPY,2025-10-10,424.9700012207031,RSI2<= 10
SPY,2025-10-10,439.1799926757813,RSI2<= 10
SPY,2025-10-10,448.9800109863281,RSI2<= 10
SPY,2025-10-10,445.4400024414063,RSI2<= 10
SPY,2025-10-10,434.0400085449219,RSI2<= 10
SPY,2025-10-10,433.6300048828125,RSI2<= 10
SPY,2025-10-10,429.1400146484375,RSI2<= 10
SPY,2025-10-10,458.9700012207031,RSI2<= 10
SPY,2025-10-10,454.9800109863281,RSI2<= 10
SPY,2025-10-10,468.3800048828125,RSI2<= 10
SPY,2025-10-10,467.9400024414063,RSI2<= 10
SPY,2025-10-10,466.0899963378906,RSI2<= 10
SPY,2025-10-10,465.510009765625,RSI2<= 10
SPY,2025-10-10,456.489990234375,RSI2<= 10
SPY,2025-10-10,451.75,RSI2<= 10
SPY,2025-10-10,446.75,RSI2<= 10
SPY,2025-10-10,399.0899963378906,RSI2<= 10
SPY,2025-10-10,398.5400085449219,RSI2<= 10
SPY,2025-10-10,406.0799865722656,RSI2<= 10
SPY,2025-10-10,404.3599853515625,RSI2<= 10
SPY,2025-10-10,405.1300048828125,RSI2<= 10
SPY,2025-10-10,411.0899963378906,RSI2<= 10
SPY,2025-10-10,448.8399963378906,RSI2<= 10
SPY,2025-10-10,446.80999755859375,RSI2<= 10
SPY,2025-10-10,439.6400146484375,RSI2<= 10
SPY,2025-10-10,436.2900085449219,RSI2<= 10
SPY,2025-10-10,444.8500061035156,RSI2<= 10
SPY,2025-10-10,438.6400146484375,RSI2<= 10
SPY,2025-10-10,431.3900146484375,RSI2<= 10
SPY,2025-10-10,430.4200134277344,RSI2<= 10
SPY,2025-10-10,421.5899963378906,RSI2<= 10
SPY,2025-10-10,426.4299926757813,RSI2<= 10
SPY,2025-10-10,468.7900085449219,RSI2<= 10
SPY,2025-10-10,467.2799987792969,RSI2<= 10
SPY,2025-10-10,472.2900085449219,RSI2<= 10
SPY,2025-10-10,513.0700073242188,RSI2<= 10
SPY,2025-10-10,504.4500122070313,RSI2<= 10
SPY,2025-10-10,503.5299987792969,RSI2<= 10
SPY,2025-10-10,500.5499877929688,RSI2<= 10
SPY,2025-10-10,499.5199890136719,RSI2<= 10
SPY,2025-10-10,495.1600036621094,RSI2<= 10
SPY,2025-10-10,522.6099853515625,RSI2<= 10
SPY,2025-10-10,548.989990234375,RSI2<= 10
SPY,2025-10-10,541.22998046875,RSI2<= 10
SPY,2025-10-10,538.4099731445312,RSI2<= 10
SPY,2025-10-10,517.3800048828125,RSI2<= 10
SPY,2025-10-10,540.3599853515625,RSI2<= 10
SPY,2025-10-10,577.989990234375,RSI2<= 10
SPY,2025-10-10,568.6400146484375,RSI2<= 10
SPY,2025-10-10,585.75,RSI2<= 10
SPY,2025-10-10,586.280029296875,RSI2<= 10
SPY,2025-10-10,586.0999755859375,RSI2<= 10
SPY,2025-10-10,586.0800170898438,RSI2<= 10
SPY,2025-10-10,584.6400146484375,RSI2<= 10
SPY,2025-10-10,599.9400024414062,RSI2<= 10
SPY,2025-10-10,597.2100219726562,RSI2<= 10
SPY,2025-10-10,594.239990234375,RSI2<= 10
SPY,2025-10-10,594.5399780273438,RSI2<= 10
SPY,2025-10-10,585.0499877929688,RSI2<= 10
